"Film [nm]","a","da","m [nm]u","dmu [nm]","sigma [nm]","dsigma [nm]","r2"
3,304.7697756514624,8.424575557322209,5.7824881629741665,0.06062140330244854,1.8998139424096985,0.0606760434694617,0.9849614765602127
3,1506.2831159043938,25.9694522462892,6.136754264893407,0.0347111001006917,1.742588974777776,0.03465182906916467,0.9890257338550027
3,555.0866881895213,11.459790561154382,5.845580435259901,0.04170824093804977,1.7496786248050302,0.04171447807819799,0.987931555370035
5,1277.1415691945654,26.174432851147028,7.477165800169133,0.056201130681166445,2.372608419848977,0.0560418023886406,0.9864751428176758
5,540.0023658033224,19.911869171219205,7.14269450528922,0.10201042862501204,2.397989536934907,0.10228431356609309,0.9735585486745588
7,346.94902800835985,37.70818022377607,11.559356806412715,1.1503698223258358,10.85056348659945,1.5060749245727896,0.9458301863367401
7,901.8396437571452,49.49149205727836,12.185357724848892,0.5922448247979429,9.824523157117632,0.6716850251992449,0.964194675843597
9,699.9721645083316,47.28193671426752,22.793745094486884,0.9374363525459593,12.262594937106467,0.992842847362798,0.9468548950118476
9,1620.0766212921023,58.91139435760479,22.388084928445558,0.4338353194015669,10.48800296664578,0.45252726509424873,0.9722414346350675
11,1224.948551247951,84.8608962142376,37.47455233450088,1.4478115785491654,18.76076504570609,1.5870982841565828,0.9387849563112945
11,4690.640282393067,161.31059738391303,41.04075352111738,0.5495935117815145,13.84492702632523,0.550159886677673,0.9672385672165766
13,4123.238755821109,167.2513710978817,41.112485824031424,0.6794960322984934,14.514998091020605,0.6805786635954956,0.958038680526486
13,14465.707211986457,220.3444808933372,53.44273293334267,0.3067382971177759,17.434012601443364,0.3064448261496791,0.9914272057901574
15,1334.9180599127399,111.52625547234106,52.04487858930494,2.0840971405135695,21.68914071040903,2.1086622274158704,0.9197189822965628
15,987.9458012134346,157.5195031481845,69.40798435115849,7.0547552719110636,42.33478570302305,8.655475292309303,0.8642510773653732
17,6688.167920793885,279.6726792644277,78.32569075736946,1.353623522498445,28.183642718971885,1.375031616344492,0.9551069647561475
