"Film [nm]","a","da","m [nm]u","dmu [nm]","sigma ","dsigma","r2"
3,300.04391990043854,14.575332746071334,5.964266381165216,0.018890803516158742,1.3850092500230016,0.01806536318420904,0.9583994820497717
3,1483.4893416034222,40.72004653705502,6.290436830817161,0.009005211423986546,1.32080510923676,0.00866577639638179,0.9739808596371944
3,547.6253578134019,17.317498259490694,5.992885127974994,0.01099961025441598,1.3423352234090382,0.010626248210277568,0.9740183970636273
5,1256.5776308200175,39.3595597542401,7.723510587519736,0.011495752869304769,1.362965964888035,0.010951265911087254,0.9707653106463786
5,529.4394486582281,29.910188460372343,7.41477100224921,0.022321836687596082,1.3900476710499152,0.021180276629249147,0.943877388791646
7,678.2322619175341,295.7310190089123,40.22894343569305,1.2993050592307935,4.007319074974633,0.34891280683758047,0.9209191800907566
7,956.825228696911,78.74165553931202,16.068733261878513,0.09647692568468876,2.343004458231998,0.06781659656824406,0.9503697483563911
9,637.3615334955476,80.11478256071172,25.829027230790444,0.07376045668884529,1.5847462249832165,0.0677427202982299,0.8552356240289214
9,1773.4211454559647,139.17763553711762,24.92010503018408,0.05685261628464311,1.7485218710241457,0.048106402539039785,0.9284792425309405
11,1188.4647557332105,144.15687978597796,42.1194921241972,0.07312659383182932,1.5920163732757122,0.06545516630563736,0.8792017821922734
11,4648.483587963641,199.4867342459906,42.5568131704843,0.017059521587746266,1.3953982450131706,0.01623046271098113,0.9535248255565133
13,4066.6867341512166,201.37422986557223,42.64179500895188,0.02056986335457023,1.414120274305895,0.019470645139303,0.9433634511007253
13,14361.621403287207,385.2361636167652,55.01414854983174,0.010364720279414609,1.3853063530609866,0.009841950677349658,0.975550740357837
15,1167.2946383123299,139.6434830094714,56.1521430115925,0.047866640828962886,1.3853241288461846,0.045519460701991594,0.8560211139940236
15,999.3457154649185,312.2898367750292,87.4199883801209,0.282187917322636,1.784034384961669,0.20907359160868091,0.7696594545736001
17,6441.7960654000935,448.04716276028626,82.98485580000703,0.028710412131964232,1.4073989977892147,0.027833751065951394,0.9021465674229401
