% Model,Supported-Internal-m075.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 30 2023, 14:04"
% Table,Table 1 - Global Evaluation 1
% theta_i (rad),wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
1.13271868454432,450,450,0.8435347905436704,2.4399904369626992E-4
1.13271868454432,460,460,0.8316352520445787,2.126953852625869E-4
1.13271868454432,470,470,0.822368846802007,1.8665562294676753E-4
1.13271868454432,480,480,0.8334693140473975,1.8671057054144184E-4
1.13271868454432,490,490,0.8778949881099445,1.7646393616616775E-4
1.13271868454432,500,500,0.9698601833578261,1.8459593037408842E-4
1.13271868454432,509.99999999999994,509.99999999999994,1.116411935844817,2.2897135487901342E-4
1.13271868454432,519.9999999999999,519.9999999999999,1.2803223152407464,2.979321653580892E-4
1.13271868454432,520.25,520.25,1.2837176336486207,2.946480221824787E-4
1.13271868454432,520.5,520.5,1.2872933428774262,3.3091757739914614E-4
1.13271868454432,520.75,520.75,1.2909404694289255,2.8503225379270826E-4
1.13271868454432,521,521,1.2941932691695395,2.7374815203145636E-4
1.13271868454432,521.2499999999999,521.2499999999999,1.2973555740625555,2.840653177969466E-4
1.13271868454432,521.4999999999999,521.4999999999999,1.3007810564939182,3.1801817712218084E-4
1.13271868454432,521.75,521.75,1.303793653540764,3.341650479976658E-4
1.13271868454432,522,522,1.3070424790487645,3.276464320839947E-4
1.13271868454432,522.25,522.25,1.3100133417323099,3.1555808406688807E-4
1.13271868454432,522.5,522.5,1.3132033241873315,3.013751675325997E-4
1.13271868454432,522.7499999999999,522.7499999999999,1.3161397483309214,2.9585151163713573E-4
1.13271868454432,523,523,1.3188292657727585,3.370848315717052E-4
1.13271868454432,523.25,523.25,1.321603536731952,3.235586318382244E-4
1.13271868454432,523.5,523.5,1.3241610277203584,3.4666458231015523E-4
1.13271868454432,523.75,523.75,1.3269906091581196,3.2412890628646685E-4
1.13271868454432,523.9999999999999,523.9999999999999,1.3297366677456643,3.339024723523003E-4
1.13271868454432,524.2499999999999,524.2499999999999,1.332348748349343,3.418976617785733E-4
1.13271868454432,524.5,524.5,1.3340919281777417,3.4339620873770067E-4
1.13271868454432,524.75,524.75,1.3365877967239788,3.274876183495029E-4
1.13271868454432,525,525,1.3389647149439767,3.350317458872238E-4
1.13271868454432,525.25,525.25,1.3409492477192282,3.59170593669858E-4
1.13271868454432,525.4999999999999,525.4999999999999,1.3432207970269532,3.0118128341028426E-4
1.13271868454432,525.75,525.75,1.3450604828145185,3.2392470961107553E-4
1.13271868454432,526,526,1.3474964050188158,2.901768177299957E-4
1.13271868454432,526.25,526.25,1.3490109638380008,3.3484241172611725E-4
1.13271868454432,526.5,526.5,1.3510299651065083,3.3964004019726565E-4
1.13271868454432,526.75,526.75,1.3524284190997518,3.614376987879016E-4
1.13271868454432,526.9999999999999,526.9999999999999,1.354232028588359,3.763071585112722E-4
1.13271868454432,527.25,527.25,1.3555655090084957,3.581537724104163E-4
1.13271868454432,527.5,527.5,1.3572964558678982,3.89635588958631E-4
1.13271868454432,527.75,527.75,1.3583902600323796,3.9274468540158916E-4
1.13271868454432,528,528,1.3600081742883543,2.967115738256393E-4
1.13271868454432,528.2499999999999,528.2499999999999,1.3610813361079517,3.0611721245915526E-4
1.13271868454432,528.4999999999999,528.4999999999999,1.362519129144425,3.233109200970516E-4
1.13271868454432,528.75,528.75,1.3631660717062488,3.3246050404837647E-4
1.13271868454432,529,529,1.3645395137711744,3.4215775096232607E-4
1.13271868454432,529.25,529.25,1.364778115101873,3.55405158628447E-4
