% Model,Supported-Internal-m100.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 30 2023, 13:38"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
450,450,0.28166499178367554,8.87660220640627E-5
460,460,0.2777529933564435,8.206364081622753E-5
470,470,0.2745967261242783,6.587238846406721E-5
480,480,0.27831483448888145,6.884239244586216E-5
490,490,0.2930801115405872,8.529663653087482E-5
500,500,0.3238950269778792,6.954468622643368E-5
509.99999999999994,509.99999999999994,0.3733969559082486,9.596358299102812E-5
519.9999999999999,519.9999999999999,0.4296816464997776,1.1972436604692292E-4
520.25,520.25,0.43090310779739016,1.8206650604116978E-4
520.5,520.5,0.43217949290397356,1.3694750167041674E-4
520.75,520.75,0.433363855319551,1.3214561971895992E-4
521,521,0.4345782263037555,1.3842966546440897E-4
521.2499999999999,521.2499999999999,0.435748214590168,1.5275559045612212E-4
521.4999999999999,521.4999999999999,0.4369094222822835,1.6502737408364773E-4
521.75,521.75,0.4380131795869162,1.2913304862434516E-4
522,522,0.4391922113799,1.2181263649259507E-4
522.25,522.25,0.44025685087915195,1.5222440232537507E-4
522.5,522.5,0.4412951019896664,1.4340348208293158E-4
522.7499999999999,522.7499999999999,0.4423170859992516,1.7176722560439394E-4
523,523,0.4433777079865048,1.569208947698195E-4
523.25,523.25,0.4443074970922103,1.379582805130938E-4
523.5,523.5,0.4452991570723998,1.212853767917327E-4
523.75,523.75,0.4462700842448615,1.3606066322796793E-4
523.9999999999999,523.9999999999999,0.4472336994979632,1.5218509587758158E-4
524.2499999999999,524.2499999999999,0.4483061024753451,1.1710439485994285E-4
524.5,524.5,0.44893537154892177,1.581060487420249E-4
524.75,524.75,0.44979106582998696,1.2475207436165364E-4
525,525,0.450662697852407,1.5580994389013147E-4
525.25,525.25,0.45140941388085565,1.3548767341105592E-4
525.4999999999999,525.4999999999999,0.45215625992364517,1.4968465125175876E-4
525.75,525.75,0.4529808289185718,1.5293807794143337E-4
526,526,0.45372365908408363,1.3813606089851894E-4
526.25,526.25,0.45436532282465947,1.3995695520253236E-4
526.5,526.5,0.4550366093184903,1.4939279247924172E-4
526.75,526.75,0.4557007052384926,1.3873380418454243E-4
526.9999999999999,526.9999999999999,0.45641832267068966,1.581494383300835E-4
527.25,527.25,0.4569827349434719,1.6366930729091317E-4
527.5,527.5,0.45746875559234246,1.396282773576887E-4
527.75,527.75,0.45796161059363566,1.3385493653733443E-4
528,528,0.458618378459291,1.543470437125467E-4
528.2499999999999,528.2499999999999,0.45896145846893777,1.5885096242467792E-4
528.4999999999999,528.4999999999999,0.4594382973854582,1.3952136271198567E-4
528.75,528.75,0.45997215698438343,1.5021852674034E-4
529,529,0.46048695168463305,1.6897959121685763E-4
529.25,529.25,0.4606909554568728,1.4898024045762888E-4
529.5,529.5,0.4610983895860674,1.9044422939722846E-4
529.7499999999999,529.7499999999999,0.46132062088937204,1.2698618161727845E-4
530,530,0.4616743662657239,1.6099716434452135E-4
530.25,530.25,0.46194197794687225,1.5061275571279643E-4
530.5,530.5,0.4621172243069181,1.6595535420319517E-4
530.75,530.75,0.46244521897774377,1.2380134996068794E-4
531,531,0.46266573264000777,1.4617225657243845E-4
531.2499999999999,531.2499999999999,0.4627326811088167,1.356571935931899E-4
531.5,531.5,0.4628386949988964,1.390355983545708E-4
