% Model,Supported-Internal-p100.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 30 2023, 13:50"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
450,450,0.20139380842059065,6.365299452182014E-5
460,460,0.19941838406091308,4.6121134723758924E-5
470,470,0.19819394573740348,5.640628251187403E-5
480,480,0.2019466737467338,4.838133771379921E-5
490,490,0.21365386443473708,5.3089941459490085E-5
500,500,0.2357644694583547,4.874720468144851E-5
509.99999999999994,509.99999999999994,0.2672643082068131,6.471403539792254E-5
519.9999999999999,519.9999999999999,0.29439560118409236,7.295797904079228E-5
520.25,520.25,0.29485952737036797,5.863018201095117E-5
520.5,520.5,0.2951930419727224,7.602022254650861E-5
520.75,520.75,0.2957826100111935,6.987721594121639E-5
521,521,0.29606025515775475,8.440100875974561E-5
521.2499999999999,521.2499999999999,0.29630869478723126,8.039288859656184E-5
521.4999999999999,521.4999999999999,0.29660750160311156,6.641560299589926E-5
521.75,521.75,0.29684967419218933,1.0411259673842978E-4
522,522,0.2971859400264581,6.596534800828119E-5
522.25,522.25,0.29747117601156114,7.729266779118523E-5
522.5,522.5,0.2976669863780471,6.191731783521501E-5
522.7499999999999,522.7499999999999,0.2979971259794212,7.33343210870488E-5
523,523,0.2981936402403532,7.390973447184066E-5
523.25,523.25,0.29833995072324887,7.228119692477607E-5
523.5,523.5,0.29850069852825556,9.481064113590188E-5
523.75,523.75,0.2986958202005427,8.993014661340658E-5
523.9999999999999,523.9999999999999,0.2987127084895833,8.802363540539633E-5
524.2499999999999,524.2499999999999,0.29891647589235315,7.473424817198399E-5
524.5,524.5,0.2989394195656624,1.0890388631481589E-4
524.75,524.75,0.29898056493921393,7.64758087495921E-5
525,525,0.2990770071009194,8.138405433924531E-5
525.25,525.25,0.29904712015873575,9.08684701643107E-5
525.4999999999999,525.4999999999999,0.2990873445362768,6.861455824808046E-5
525.75,525.75,0.2989255834976929,1.2397912532837778E-4
526,526,0.299046014233995,6.84683153888135E-5
526.25,526.25,0.2989708137484926,8.573915581672255E-5
526.5,526.5,0.29896023993384513,8.279528717272895E-5
526.75,526.75,0.29871885650358687,1.5822568874534587E-4
526.9999999999999,526.9999999999999,0.2986983548283492,7.709464269461964E-5
527.25,527.25,0.2985445858436469,7.072029557822163E-5
527.5,527.5,0.29871327075289006,6.394907681245434E-5
527.75,527.75,0.2981942865312594,8.37867730073649E-5
528,528,0.2980532945673554,6.144198361809555E-5
528.2499999999999,528.2499999999999,0.29783739364357614,8.733608835545727E-5
528.4999999999999,528.4999999999999,0.29761015399443075,9.287619010803676E-5
528.75,528.75,0.2973461798503633,6.776075608736225E-5
529,529,0.29712087842769336,1.0216915027802134E-4
529.25,529.25,0.2968660339172146,9.102537925238297E-5
529.5,529.5,0.2964727208823527,8.858240871988086E-5
529.7499999999999,529.7499999999999,0.29622025036849037,7.980072683290407E-5
530,530,0.29592135808264625,9.063127156854104E-5
530.25,530.25,0.29559120188211435,8.139943473889034E-5
530.5,530.5,0.29518208509945326,3.4712741066863225E-5
530.75,530.75,0.29482796898658103,7.276827731535324E-5
531,531,0.29434305646427317,1.190539442989096E-4
