% Model,AuNP-5-78nm-inc-Mas-Air.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 12:59"
% Dimension,3
% Nodes,32726
% Expressions,1
% Description,Multislice
% X,Y,Z,Electric field norm
-2.8124140826802938E-14,-272.67249999999996,-272.67249999999996,2.9016026256716607E-9
-4.9630836753181654E-14,-272.67249999999996,-264.48109374999996,9.022753787403877E-9
-6.038418471637101E-14,-264.48109374999996,-264.48109374999996,1.3626604091656472E-8
-4.9630836753181654E-14,-264.48109374999996,-272.67249999999996,1.0420254617798649E-8
-7.113753267956037E-14,-256.2896874999999,-264.48109374999996,2.134028009743573E-8
-7.113753267956037E-14,-256.2896874999999,-272.67249999999996,1.9004506532719242E-8
-7.113753267956037E-14,-272.67249999999996,-256.2896874999999,1.532728274218919E-8
-7.113753267956037E-14,-264.48109374999996,-256.2896874999999,1.8796689000387183E-8
-7.113753267956037E-14,-256.2896874999999,-256.2896874999999,2.6091330548463307E-8
-6.452008777913615E-14,-272.67249999999996,-248.09828124999996,2.0686945636713764E-8
-6.61744490042422E-14,-264.48109374999996,-248.09828124999996,2.440313635641507E-8
-6.782881022934826E-14,-256.2896874999999,-248.09828124999996,3.302286755743846E-8
-5.790264287871192E-14,-272.67249999999996,-239.90687499999996,2.487020198879464E-8
-6.121136532892404E-14,-264.48109374999996,-239.90687499999996,2.9750134773996507E-8
-6.452008777913615E-14,-256.2896874999999,-239.90687499999996,4.1302281473908775E-8
-7.279189390466642E-14,-248.0982812499999,-264.48109374999996,3.0476330530720855E-8
-7.444625512977248E-14,-248.0982812499999,-272.67249999999996,2.7680712283976096E-8
-7.444625512977248E-14,-239.90687499999996,-264.48109374999996,4.048836008297486E-8
-7.775497757998459E-14,-239.9068749999999,-272.67249999999996,3.6667837840498894E-8
-7.113753267956037E-14,-248.09828124999996,-256.2896874999999,3.674174017730186E-8
-7.113753267956037E-14,-239.90687499999996,-256.2896874999999,4.931009790385108E-8
-4.301339185275743E-14,-272.67249999999996,-231.71546874999996,2.786487903092153E-8
-4.590852399669303E-14,-264.48109374999996,-231.71546874999993,3.4975266741980314E-8
-4.8803656140628627E-14,-256.2896874999999,-231.71546874999993,5.119578244655105E-8
-2.8124140826802938E-14,-272.67249999999996,-223.52406249999996,2.983341342314228E-8
-3.060568266446202E-14,-264.48109374999996,-223.52406249999993,4.053771133427644E-8
-3.30872245021211E-14,-256.2896874999999,-223.52406249999993,6.332478139635497E-8
-6.865599084190128E-14,-248.09828124999996,-248.09828124999996,4.684754826727078E-8
-6.948317145445431E-14,-239.90687499999996,-248.09828124999996,6.399331825506866E-8
-6.61744490042422E-14,-248.09828124999996,-239.90687499999996,5.978234863434746E-8
-6.782881022934826E-14,-239.90687499999996,-239.90687499999996,8.314385280530722E-8
-7.775497757998459E-14,-231.71546874999999,-264.48109374999996,5.273459967042176E-8
-8.437242248040881E-14,-231.71546874999993,-272.67249999999996,4.6449791586864645E-8
-8.10637000301967E-14,-223.52406249999996,-264.48109374999996,6.710309444650493E-8
-9.098986738083303E-14,-223.52406249999999,-272.67249999999996,5.748847621140952E-8
-7.113753267956037E-14,-231.71546874999993,-256.2896874999999,6.66895602729041E-8
-7.113753267956037E-14,-223.52406249999996,-256.2896874999999,8.759590520842576E-8
-1.4062070413401469E-14,-272.67249999999996,-215.33265624999996,3.085314688311134E-8
-1.654361225106055E-14,-264.48109374999996,-215.33265624999996,4.595007568818095E-8
-1.9025154088719633E-14,-256.2896874999999,-215.33265624999996,7.602990154997091E-8
0,-272.67249999999996,-207.14124999999996,3.1042444230444E-8
-2.4815418376590826E-15,-264.48109374999996,-207.14124999999996,5.2472674139614976E-8
-4.963083675318165E-15,-256.2896874999999,-207.14124999999996,9.198758572109823E-8
-5.004442705945817E-14,-248.09828124999996,-231.71546874999993,7.607574533177436E-8
-5.128519797828771E-14,-239.90687499999996,-231.71546874999996,1.079399034223379E-7
-3.391440511467413E-14,-248.09828124999996,-223.52406249999996,9.651739826114844E-8
-3.4741585727227156E-14,-239.90687499999996,-223.52406249999996,1.3917792740131005E-7
-7.113753267956037E-14,-231.71546874999999,-248.09828124999996,8.906215919779045E-8
-7.279189390466642E-14,-223.52406249999996,-248.09828124999996,1.1995195258690357E-7
-7.113753267956037E-14,-231.71546874999993,-239.906875,1.1771809180657276E-7
-7.444625512977248E-14,-223.52406249999996,-239.906875,1.6087016593747473E-7
-6.865599084190128E-14,-215.33265624999999,-264.48109374999996,8.54177762550515E-8
-6.61744490042422E-14,-215.33265624999996,-272.67249999999996,7.004484482178895E-8
-5.6248281653605876E-14,-207.14124999999996,-264.48109374999996,1.0651803760537596E-7
-4.135903062765138E-14,-207.14124999999996,-272.67249999999996,8.39421080379195E-8
-7.113753267956037E-14,-215.33265624999996,-256.2896874999999,1.1652424840364833E-7
-7.113753267956037E-14,-207.14124999999996,-256.2896874999999,1.5035689537202602E-7
-1.4889251025954495E-14,-272.67249999999996,-198.94984374999996,3.026747235233857E-8
-1.6957202557337064E-14,-264.48109374999996,-198.94984374999996,5.74192814523695E-8
-1.9025154088719633E-14,-256.2896874999999,-198.94984374999996,1.0489853722538714E-7
-2.977850205190899E-14,-272.67249999999996,-190.75843749999996,2.884259170492357E-8
-3.1432863277015045E-14,-264.48109374999996,-190.75843749999996,6.412884654066351E-8
-3.30872245021211E-14,-256.2896874999999,-190.75843749999996,1.220941626598975E-7
-5.872982349126495E-14,-198.94984374999996,-264.48109374999996,1.3183530048079334E-7
-4.6322114302969543E-14,-198.94984374999993,-272.67249999999996,9.845377174148157E-8
-6.121136532892404E-14,-190.75843749999993,-264.48109374999996,1.5928400657728515E-7
-5.128519797828771E-14,-190.75843749999993,-272.67249999999996,1.1239510386398575E-7
-7.113753267956037E-14,-198.94984374999993,-256.2896874999999,1.9403694883169517E-7
-7.113753267956037E-14,-190.75843749999993,-256.2896874999999,2.433369460799854E-7
-2.0265925007549175E-14,-248.09828124999996,-215.33265624999996,1.18649127572533E-7
-2.1506695926378716E-14,-239.90687499999996,-215.33265624999996,1.7434910271355574E-7
-6.617444900424221E-15,-248.09828124999996,-207.14124999999996,1.4648275253431566E-7
-8.271806125530275E-15,-239.90687499999996,-207.14124999999996,2.1863739536301617E-7
-5.459392042849982E-14,-231.71546874999999,-231.71546874999996,1.5553227009067773E-7
-5.790264287871192E-14,-223.52406249999999,-231.71546874999999,2.162899982019372E-7
-3.8050308177439267E-14,-231.71546874999993,-223.52406249999996,2.0304984551628016E-7
-4.135903062765138E-14,-223.52406249999999,-223.52406249999999,2.857054322104076E-7
-7.361907451721945E-14,-215.33265624999999,-248.09828124999996,1.6411202379979165E-7
-7.444625512977248E-14,-207.14124999999996,-248.09828124999996,2.1651790095109056E-7
-7.610061635487853E-14,-215.33265624999996,-239.906875,2.2360123130715308E-7
-7.775497757998459E-14,-207.14124999999996,-239.906875,2.9868824576213613E-7
-4.301339185275743E-14,-272.6725,-182.56703125,2.7254690876964364E-8
-4.384057246531046E-14,-264.48109374999996,-182.56703124999999,6.67608484806356E-8
-4.466775307786349E-14,-256.28968749999996,-182.56703125,1.2985213754277732E-7
-5.6248281653605876E-14,-272.6725,-174.375625,2.7182566575067516E-8
-5.6248281653605876E-14,-264.48109375,-174.37562500000004,7.232194278804388E-8
-5.6248281653605876E-14,-256.28968749999996,-174.37562500000004,1.4305341780333842E-7
-2.067951531382569E-14,-248.09828124999996,-198.94984374999996,1.7030472315371572E-7
-2.2333876538931744E-14,-239.90687499999996,-198.94984374999996,2.5917932797292805E-7
-3.4741585727227156E-14,-248.0982812499999,-190.75843749999996,2.018171607844748E-7
-3.639594695233321E-14,-239.90687499999996,-190.75843749999996,3.1268116126912296E-7
-6.203854594147706E-14,-182.56703124999996,-264.48109374999996,1.8889617155300614E-7
-5.2939559203393765E-14,-182.56703124999996,-272.67249999999996,1.2390409260041603E-7
-6.286572655403009E-14,-174.37562499999996,-264.48109374999996,2.1900223512643158E-7
-5.459392042849982E-14,-174.37562499999999,-272.67249999999996,1.3073514798210507E-7
-7.113753267956037E-14,-182.56703124999993,-256.2896874999999,3.0046007136180353E-7
-7.113753267956037E-14,-174.37562499999993,-256.2896874999999,3.6373390363987533E-7
-7.610061635487853E-14,-198.94984374999996,-248.09828124999996,2.860932573237639E-7
-7.775497757998459E-14,-190.75843749999993,-248.09828124999996,3.6572373898801213E-7
-8.10637000301967E-14,-198.94984374999993,-239.90687499999996,4.009307323171287E-7
-8.437242248040881E-14,-190.75843749999993,-239.90687499999996,5.18737655286063E-7
-2.4401828070314313E-14,-231.71546874999999,-215.33265624999996,2.593831911129114E-7
-2.729696021424991E-14,-223.52406249999999,-215.33265624999996,3.724666906019531E-7
-1.0753347963189358E-14,-231.71546874999993,-207.14124999999996,3.2977092153949405E-7
-1.3234889800848441E-14,-223.52406249999999,-207.14124999999996,4.804027887464905E-7
-5.914341379754147E-14,-215.33265624999999,-231.71546874999996,3.06379191179815E-7
-6.038418471637101E-14,-207.14124999999996,-231.71546874999999,4.161549286385702E-7
-4.2186211240204405E-14,-215.33265624999996,-223.52406249999999,4.103678536111423E-7
-4.301339185275743E-14,-207.14124999999996,-223.52406249999996,5.637246463967424E-7
-1.4062070413401469E-14,-272.6725,-166.18421874999999,2.9807759486768855E-8
-1.4889251025954495E-14,-264.48109374999996,-166.18421875,7.180130303105401E-8
-1.5716431638507523E-14,-256.28968749999996,-166.18421875,1.39886164311328E-7
2.8124140826802938E-14,-272.67249999999996,-157.99281249999993,3.535835254918208E-8
2.6469779601696882E-14,-264.48109374999996,-157.99281249999993,7.469156297357638E-8
2.4815418376590827E-14,-256.2896874999999,-157.99281249999996,1.4242888763605297E-7
-4.508134338414E-14,-248.09828124999996,-182.56703124999999,2.1865572334402703E-7
-4.5494933690416516E-14,-239.90687499999996,-182.56703125,3.4548239366944676E-7
-5.542110104105285E-14,-248.09828124999996,-174.37562500000004,2.458538253692865E-7
