% Model,AuNP-5-78nm-inc-Mas-BK7.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 13:05"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
450,450,0.3522987951370368,5.264312572657622E-4
460,460,0.3499102411664964,4.8780195347332227E-4
470,470,0.3488525831117161,4.527267717036361E-4
480,480,0.35728108285078103,4.4307216801191816E-4
490,490,0.38156530867931765,4.5201361472567826E-4
500,500,0.4288814768619535,5.369574089852775E-4
509.99999999999994,509.99999999999994,0.501894720094351,6.926352914723382E-4
519.9999999999999,519.9999999999999,0.576260600492827,9.245941023090166E-4
520.25,520.25,0.5776381612258804,9.218675725397459E-4
520.5,520.5,0.5789695939701026,9.110967127686417E-4
520.75,520.75,0.5802912984243737,9.349820676020929E-4
521,521,0.5816224075697533,9.301740888800305E-4
521.2499999999999,521.2499999999999,0.5828906797084109,9.550606066115699E-4
521.4999999999999,521.4999999999999,0.5842369850120396,9.699030485806178E-4
521.75,521.75,0.5854759505266915,9.645873321199584E-4
522,522,0.5867376336667731,9.707135077943433E-4
522.25,522.25,0.587981147201692,9.747989893827387E-4
522.5,522.5,0.5891954557382202,9.88513966763329E-4
522.7499999999999,522.7499999999999,0.5904336293315151,9.802527732765487E-4
523,523,0.5915987820539964,9.983824957827663E-4
523.25,523.25,0.5922509523395819,9.7715903577097E-4
523.5,523.5,0.5928648012717989,0.0010071915738479459
523.75,523.75,0.5934513825005286,0.0010008300677695403
523.9999999999999,523.9999999999999,0.5940513735697099,9.919563955063451E-4
524.2499999999999,524.2499999999999,0.5946281612917605,0.0010116460742461758
524.5,524.5,0.595136566201488,0.0010072097567401857
524.75,524.75,0.5956152002272305,0.0010216732761437525
525,525,0.5960679720331953,0.001013559541471955
525.25,525.25,0.5966374274056705,0.0010336588564642053
525.4999999999999,525.4999999999999,0.5969704517142906,0.0010338207960422674
525.75,525.75,0.5974089527369282,0.0010228223166479317
526,526,0.5977598205220301,0.0010315710439040336
526.25,526.25,0.5980742879385536,0.001033746769151042
526.5,526.5,0.5984646603728783,0.0010448698021546421
526.75,526.75,0.59868486799392,0.001039599829623382
526.9999999999999,526.9999999999999,0.5990377433615468,0.0010558369525551679
527.25,527.25,0.5992192098731405,0.001058999463118699
527.5,527.5,0.5994592865780252,0.0010700222902264571
527.75,527.75,0.5996462753713663,0.0010654014413910239
528,528,0.5998093716253495,0.0010812554432444907
528.2499999999999,528.2499999999999,0.5994768097896898,0.0010673442514294448
528.4999999999999,528.4999999999999,0.599180654433193,0.0010667238103009094
528.75,528.75,0.5987996239013186,0.0010632812558932765
529,529,0.5984457218965503,0.0010624123320507838
529.25,529.25,0.5981099051840604,0.001083033137474569
529.5,529.5,0.5976227448559475,0.0010990803016953656
529.7499999999999,529.7499999999999,0.5971697656656471,0.001093134750958833
530,530,0.5966962125129509,0.0010796996812985165
530.25,530.25,0.5962167299862389,0.0010826037271474674
530.5,530.5,0.5956138926843502,0.0010886047947485942
530.75,530.75,0.5951013287550259,0.001101968274602597
531,531,0.5944922425434704,0.0010878782083298304
531.2499999999999,531.2499999999999,0.5938735901721635,0.0010821570039229924
531.5,531.5,0.5932260872488779,0.001100604463355783
531.75,531.75,0.5925356926939546,0.001094629552298655
532,532,0.5917753808479458,0.0010911831366520802
532.25,532.25,0.5910015673827238,0.001115165713796967
532.4999999999999,532.4999999999999,0.5902551699389644,0.0011000985864427638
532.7499999999999,532.7499999999999,0.5894709154994271,0.0011092935978029258
533,533,0.5886417081726685,0.0011134910639346287
533.25,533.25,0.5874899623273621,0.0011161547780140662
533.5,533.5,0.5863643327659589,0.0011142271137732167
533.75,533.75,0.5852515261017549,0.0011074659857549134
533.9999999999999,533.9999999999999,0.5840223991508758,0.0011079110066154804
534.25,534.25,0.5827842487114805,0.0011313427849282244
534.5,534.5,0.5815832720579636,0.0011065143011398356
534.75,534.75,0.5802513025426334,0.0011105733871583964
535,535,0.5789929348472452,0.001108446548819314
535.25,535.25,0.5776519975711104,0.0010975533827997813
535.4999999999999,535.4999999999999,0.576329748913306,0.0011072689097307252
535.75,535.75,0.574956816350152,0.001106749182757881
536,536,0.5735851874097478,0.0011030475979110998
536.25,536.25,0.5721847691567141,0.0011227507298645233
536.5,536.5,0.5707626320719318,0.001101026372705028
536.7499999999999,536.7499999999999,0.5692910036770968,0.00111583691702806
536.9999999999999,536.9999999999999,0.5677627328998928,0.001117192577292687
537.25,537.25,0.566325552687279,0.0010967160804009788
537.5,537.5,0.564841818369677,0.0011025561640401397
537.75,537.75,0.5633259957316276,0.001118987198722564
538,538,0.561650965500535,0.0011007183938490158
538.2499999999999,538.2499999999999,0.5600427036059165,0.0010987014247000456
538.5,538.5,0.5582262088260268,0.001107019390457699
538.75,538.75,0.5566081306574676,0.001109892657001572
539,539,0.5547705334276938,0.0010971882815959551
539.25,539.25,0.552978708405146,0.0011101839536693766
539.5,539.5,0.5511372920189784,0.0010898467887765384
539.7499999999999,539.7499999999999,0.5494723118667774,0.0011167823292042459
540,540,0.547562108493514,0.0010977326517846706
550,550,0.46518053365179224,0.0010092849574162145
560,560,0.3795763829689381,9.083776471025069E-4
570,570,0.3011301773814073,7.752291492345674E-4
580,580,0.23479568326601014,6.610652185843835E-4
590,590,0.18237134141707673,5.593820064876816E-4
600,600,0.14317218737869744,4.7126185010522525E-4
610,610,0.11432222001916185,4.001034917781193E-4
619.9999999999999,619.9999999999999,0.09292679496401139,3.4527648229429434E-4
629.9999999999999,629.9999999999999,0.07673199703910866,2.99108991740816E-4
639.9999999999999,639.9999999999999,0.06427812624581704,2.6394068747528053E-4
650,650,0.05466316110338946,2.2979776210348577E-4
660,660,0.04722824504953072,2.0569743770309815E-4
670,670,0.04153361876696185,1.8185724745564954E-4
680,680,0.037100276874671184,1.6488710302462527E-4
690,690,0.033555197554733664,1.509343729833265E-4
700,700,0.030627151038038765,1.3517736706279032E-4
