% Model,AuNP-7-30nm-inc-Mas-BK7.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 13:23"
% Dimension,3
% Nodes,33519
% Expressions,1
% Description,Multislice
% X,Y,Z,sqrt(abs(ewfd.relEx)^2+abs(ewfd.relEy)^2+abs(ewfd.relEz)^2)
0,-310.59999999999997,-310.59999999999997,9.845166793237673E-9
-2.1506695926378716E-14,-310.59999999999997,-302.36562499999997,3.008801683626882E-8
-3.970466940254532E-14,-302.36562499999997,-302.36562499999997,4.593891294502831E-8
-3.5568766339780184E-14,-302.36562499999997,-310.59999999999997,3.5670999868453655E-8
-5.790264287871192E-14,-294.13124999999997,-302.36562499999997,7.213560106381176E-8
-7.113753267956037E-14,-294.13124999999997,-310.59999999999997,6.473496776036928E-8
-4.301339185275743E-14,-310.59999999999997,-294.1312499999999,5.1267197121034416E-8
-4.384057246531046E-14,-302.36562499999997,-294.1312499999999,6.296544094174588E-8
-4.466775307786349E-14,-294.13124999999997,-294.1312499999999,8.758257598331382E-8
-5.70754622661589E-14,-310.6,-285.89687499999997,6.962372952686245E-8
-5.666187195988239E-14,-302.36562499999997,-285.89687499999997,8.201499555526904E-8
-5.6248281653605876E-14,-294.13125,-285.89687499999997,1.1107715757321517E-7
-7.113753267956037E-14,-310.6,-277.6625,8.440777498749224E-8
-6.948317145445431E-14,-302.365625,-277.6625,1.005407797084301E-7
-6.782881022934826E-14,-294.13125,-277.6625,1.3922334413589215E-7
-3.5568766339780184E-14,-285.8968749999999,-302.36562499999997,1.0262530225256806E-7
-2.729696021424991E-14,-285.89687499999997,-310.59999999999997,9.384853693785245E-8
-1.3234889800848441E-14,-277.66249999999997,-302.3656249999999,1.3611504467726007E-7
1.654361225106055E-14,-277.6624999999999,-310.5999999999999,1.2386760274203527E-7
-4.384057246531046E-14,-285.89687499999997,-294.1312499999999,1.2262470812178973E-7
-4.301339185275743E-14,-277.66249999999997,-294.1312499999999,1.6451202071773724E-7
6.617444900424221E-15,-310.6,-269.42812499999997,9.55924974482154E-8
7.444625512977247E-15,-302.365625,-269.42812499999997,1.1921671379712372E-7
8.271806125530275E-15,-294.13125,-269.42812499999997,1.7362835406679618E-7
8.437242248040881E-14,-310.6,-261.1937499999999,1.036930382765586E-7
8.437242248040881E-14,-302.36562499999997,-261.1937499999999,1.3928443382785226E-7
8.437242248040881E-14,-294.13125,-261.1937499999999,2.1568002321325252E-7
-5.376673981594679E-14,-285.89687499999997,-285.89687499999997,1.564542614259711E-7
-5.128519797828771E-14,-277.6625,-285.89687499999997,2.1360430082207993E-7
-6.369290716658312E-14,-285.896875,-277.6625,1.9977175539849897E-7
-5.955700410381798E-14,-277.6625,-277.6625,2.7735488201266437E-7
-2.2333876538931744E-14,-269.42812499999997,-302.36562499999997,1.7669279346387087E-7
-2.4815418376590826E-15,-269.4281249999999,-310.59999999999997,1.5661195098689188E-7
-3.1432863277015045E-14,-261.19374999999997,-302.36562499999997,2.2483417890454233E-7
-2.1506695926378716E-14,-261.1937499999999,-310.59999999999997,1.9392434653313346E-7
-4.2186211240204405E-14,-269.42812499999997,-294.1312499999999,2.2130230845303865E-7
-4.135903062765138E-14,-261.19374999999997,-294.1312499999999,2.9051969128767645E-7
4.2186211240204405E-14,-310.6,-252.95937499999988,1.0891631528232249E-7
4.177262093392789E-14,-302.36562499999997,-252.95937499999994,1.5960179495192588E-7
4.135903062765138E-14,-294.13124999999997,-252.95937499999988,2.61313514911244E-7
0,-310.5999999999999,-244.72499999999988,1.1147090533830669E-7
-8.271806125530276E-16,-302.3656249999999,-244.72499999999988,1.8386873195626385E-7
-1.6543612251060552E-15,-294.1312499999999,-244.72499999999988,3.18313523709155E-7
1.0753347963189358E-14,-285.89687499999997,-269.42812499999997,2.5556728122372527E-7
1.3234889800848441E-14,-277.6625,-269.42812499999997,3.61318791756359E-7
8.519960309296184E-14,-285.896875,-261.1937499999999,3.253882725518368E-7
8.602678370551487E-14,-277.6625,-261.1937499999999,4.6669697583016815E-7
-5.004442705945817E-14,-269.42812499999997,-285.89687499999997,2.9519964776691733E-7
-4.8803656140628627E-14,-261.19374999999997,-285.89687499999997,3.9691785371763673E-7
-5.790264287871192E-14,-269.42812499999997,-277.6625,3.895129933610683E-7
-5.6248281653605876E-14,-261.19374999999997,-277.6625,5.308282843414402E-7
-4.466775307786349E-14,-252.959375,-302.36562499999997,2.8595129352191446E-7
-4.6322114302969543E-14,-252.95937499999994,-310.6,2.3700543564049054E-7
-5.790264287871192E-14,-244.725,-302.36562499999997,3.574443939578033E-7
-7.113753267956037E-14,-244.725,-310.6,2.856410287114067E-7
-4.301339185275743E-14,-252.959375,-294.1312499999999,3.848548440450628E-7
