% Model,AuDimmer-7-30nm-04nm.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 13 2025, 16:29"
% Dimension,3
% Nodes,17977
% Expressions,1
% Description,Slice
% X,Y,Z,Electric field norm
-1.3234889800848441E-14,-312.34999999999997,-312.34999999999997,1.9398778597341262E-8
-4.2186211240204405E-14,-312.3499999999999,-304.00624999999997,5.945375136806466E-8
-2.0265925007549175E-14,-304.00624999999997,-304.0062499999999,9.054517845241249E-8
3.060568266446202E-14,-304.00624999999997,-312.3499999999999,7.015909589056819E-8
1.6543612251060552E-15,-295.66249999999997,-304.0062499999999,1.420448799899413E-7
7.444625512977248E-14,-295.66249999999997,-312.3499999999999,1.273875273613792E-7
-7.113753267956037E-14,-312.3499999999999,-295.6624999999999,1.012786459976163E-7
-7.113753267956037E-14,-304.00624999999997,-295.6624999999999,1.2427610701317082E-7
-7.113753267956037E-14,-295.66249999999997,-295.6624999999999,1.7266866286576483E-7
-1.1332374391976478E-13,-312.3499999999999,-287.31874999999997,1.3745393671228614E-7
-1.1208297300093524E-13,-304.00624999999997,-287.31874999999997,1.6185179397387997E-7
-1.108422020821057E-13,-295.66249999999997,-287.31874999999997,2.189784428249204E-7
-1.5550995515996918E-13,-312.3499999999999,-278.975,1.665018054716108E-7
-1.530284133223101E-13,-304.00624999999997,-278.975,1.983337051854169E-7
-1.50546871484651E-13,-295.66249999999997,-278.975,2.744802231501041E-7
-1.530284133223101E-14,-287.31874999999997,-304.0062499999999,2.0215933985540705E-7
3.8877488789992294E-14,-287.31874999999997,-312.3499999999999,1.84793664419271E-7
-3.226004388956807E-14,-278.97499999999997,-304.0062499999999,2.682262212543143E-7
3.3087224502121103E-15,-278.97499999999997,-312.3499999999999,2.440567120701321E-7
-6.948317145445431E-14,-287.31874999999997,-295.6624999999999,2.418495128171371E-7
-6.782881022934826E-14,-278.97499999999997,-295.6624999999999,3.245043430812546E-7
-1.6957202557337065E-13,-312.3499999999999,-270.63124999999997,1.883804366604097E-7
-1.6709048373571157E-13,-304.00624999999997,-270.63124999999997,2.349749380106394E-7
-1.6460894189805248E-13,-295.66249999999997,-270.63124999999997,3.4208450308656717E-7
-1.8363409598677212E-13,-312.3499999999999,-262.2875,2.0413027287014598E-7
-1.8115255414911304E-13,-304.00624999999997,-262.2875,2.74344810500763E-7
-1.7867101231145395E-13,-295.66249999999997,-262.2875,4.24815448769698E-7
-1.0877425055072313E-13,-287.31874999999997,-287.31874999999997,3.085773630306993E-7
-1.0670629901934056E-13,-278.97499999999997,-287.31874999999997,4.2133300295974017E-7
-1.4806532964699193E-13,-287.31874999999997,-278.975,3.9409405257070246E-7
-1.4558378780933285E-13,-278.97499999999997,-278.975,5.472428635148745E-7
-1.8197973476166606E-14,-270.6312499999999,-304.0062499999999,3.48410658017299E-7
3.060568266446202E-14,-270.6312499999999,-312.3499999999999,3.087401426175176E-7
-4.1359030627651376E-15,-262.28749999999997,-304.0062499999999,4.434785384515963E-7
5.790264287871192E-14,-262.28749999999997,-312.3499999999999,3.8242950728548957E-7
-6.700162961679523E-14,-270.6312499999999,-295.6624999999999,4.368566546546571E-7
-6.61744490042422E-14,-262.28749999999997,-295.6624999999999,5.736400700358964E-7
-1.4889251025954496E-13,-312.3499999999999,-253.94374999999997,2.1417230438003378E-7
-1.472381490344389E-13,-304.00624999999997,-253.94374999999997,3.1404536564570815E-7
-1.4558378780933285E-13,-295.66249999999997,-253.94374999999997,5.142219025083747E-7
-1.141509245323178E-13,-312.34999999999997,-245.59999999999988,2.1892179890808186E-7
-1.1332374391976478E-13,-304.00624999999997,-245.59999999999988,3.615116694487318E-7
-1.1249656330721175E-13,-295.66249999999997,-245.59999999999994,6.260620830966411E-7
-1.6047303883528734E-13,-287.31874999999997,-270.63124999999997,5.038543413633632E-7
-1.563371357725222E-13,-278.97499999999997,-270.63124999999997,7.125708862137553E-7
-1.7288074802358276E-13,-287.31874999999997,-262.2875,6.413762633688861E-7
-1.6709048373571157E-13,-278.97499999999997,-262.2875,9.203494116661631E-7
-1.0463834748795799E-13,-270.6312499999999,-287.31874999999997,5.827717439529861E-7
-1.0257039595657542E-13,-262.28749999999997,-287.31874999999997,7.838026942737951E-7
-1.4227506535912073E-13,-270.6312499999999,-278.97499999999997,7.692022148811317E-7
-1.3896634290890862E-13,-262.28749999999997,-278.97499999999997,1.0486027097084287E-6
-3.59823566460567E-14,-253.94374999999997,-304.0062499999999,5.642849892218658E-7
-6.617444900424221E-15,-253.94374999999997,-312.3499999999999,4.674473804764483E-7
-6.782881022934826E-14,-245.59999999999994,-304.0062499999999,7.054399017587017E-7
-7.113753267956037E-14,-245.59999999999994,-312.3499999999999,5.633178883140498E-7
-6.534726839168917E-14,-253.94374999999997,-295.6624999999999,7.60429377660978E-7
-6.452008777913615E-14,-245.59999999999994,-295.6624999999999,9.817374805829237E-7
-1.3483043984614349E-13,-312.3499999999999,-237.2562499999999,2.1665784873466573E-7
-1.3441684953986697E-13,-304.00624999999997,-237.2562499999999,4.008584784382164E-7
-1.3400325923359046E-13,-295.66249999999997,-237.25624999999994,7.240549043084541E-7
-1.5550995515996918E-13,-312.3499999999999,-228.9124999999999,2.0777728615384143E-7
-1.5550995515996918E-13,-304.00624999999997,-228.91249999999994,4.521268600371688E-7
-1.5550995515996918E-13,-295.66249999999997,-228.91249999999997,8.524836742710898E-7
-6.452008777913615E-14,-237.25625,-304.0062499999999,8.749402374392632E-7
-6.534726839168917E-14,-237.25624999999997,-312.3499999999999,6.658949047107772E-7
-6.121136532892404E-14,-228.91249999999997,-304.00624999999997,1.061540297123989E-6
-5.955700410381798E-14,-228.9125,-312.34999999999997,7.67899630736445E-7
-6.369290716658312E-14,-237.25624999999994,-295.6624999999999,1.2656255583749543E-6
-6.286572655403009E-14,-228.91249999999997,-295.6624999999999,1.5904417508000308E-6
-1.410342944402912E-13,-287.31874999999997,-253.94374999999997,7.945220724361795E-7
-1.3648480107124954E-13,-278.97499999999997,-253.94374999999997,1.159586675339733E-6
-1.0918784085699964E-13,-287.31874999999997,-245.59999999999988,9.8661889818401E-7
-1.0587911840678753E-13,-278.975,-245.59999999999988,1.4597835732122243E-6
-1.5385559393486312E-13,-270.6312499999999,-270.63124999999997,1.017648024715225E-6
-1.5137405209720404E-13,-262.28749999999997,-270.63124999999997,1.4089924275120163E-6
-1.654361225106055E-13,-270.6312499999999,-262.2875,1.3292274065091312E-6
-1.6378176128549945E-13,-262.28749999999997,-262.2875,1.8593677302411149E-6
-1.0091603473146936E-13,-253.94374999999997,-287.31874999999997,1.0666679491781604E-6
-9.926167350636331E-14,-245.59999999999994,-287.31874999999997,1.4064801149774818E-6
-1.3648480107124954E-13,-253.94374999999997,-278.97499999999997,1.4479362421398287E-6
-1.3400325923359046E-13,-245.6,-278.975,1.931428056789907E-6
-1.3483043984614349E-13,-312.3499999999999,-220.56874999999997,1.9281389253179098E-7
-1.3483043984614349E-13,-304.00624999999997,-220.56874999999997,4.789840786993674E-7
-1.3483043984614349E-13,-295.66249999999997,-220.56875,9.278406072373719E-7
-1.141509245323178E-13,-312.3499999999999,-212.22500000000002,1.8151127186347771E-7
-1.141509245323178E-13,-304.00624999999997,-212.22500000000002,5.259919860998409E-7
-1.141509245323178E-13,-295.66249999999997,-212.225,1.0436980643409172E-6
-1.3152171739593138E-13,-287.31874999999997,-237.25624999999994,1.1626452443982445E-6
-1.290401755582723E-13,-278.97499999999997,-237.2562499999999,1.7502332599031383E-6
-1.5385559393486312E-13,-287.31874999999997,-228.91249999999994,1.3920381430375354E-6
-1.5220123270975707E-13,-278.97499999999997,-228.91249999999994,2.12780826776208E-6
-6.865599084190128E-14,-220.56874999999997,-304.00624999999997,1.264626902903546E-6
-7.52734357423255E-14,-220.56875,-312.35,8.570938439490822E-7
-7.610061635487853E-14,-212.22499999999994,-304.00624999999997,1.4737826944133403E-6
-9.098986738083303E-14,-212.225,-312.35,9.178553636308578E-7
-6.203854594147706E-14,-220.56874999999997,-295.6624999999999,1.968846242958794E-6
-6.121136532892404E-14,-212.22499999999994,-295.6624999999999,2.393744888527846E-6
-9.760731228125725E-14,-237.25625,-287.31874999999997,1.8541764439434934E-6
-9.59529510561512E-14,-228.91249999999997,-287.31874999999997,2.3741550143913196E-6
-1.3152171739593138E-13,-237.25625,-278.975,2.583300842302477E-6
-1.290401755582723E-13,-228.9125,-278.975,3.345697855044129E-6
-1.3483043984614349E-13,-270.6312499999999,-253.94374999999997,1.704242563808371E-6
-1.3317607862103743E-13,-262.28749999999997,-253.94374999999997,2.426807728100903E-6
-1.0422475718168147E-13,-270.63124999999997,-245.59999999999988,2.1719113480838503E-6
-1.0257039595657542E-13,-262.28749999999997,-245.59999999999988,3.1314683495362513E-6
-1.4847891995326844E-13,-253.94374999999997,-270.6312499999999,1.9788624174167946E-6
-1.4558378780933285E-13,-245.6,-270.63124999999997,2.6798379664303296E-6
-1.6047303883528734E-13,-253.94374999999997,-262.2875,2.6439665324993257E-6
-1.5716431638507523E-13,-245.59999999999994,-262.28749999999997,3.617056241768286E-6
-5.1698788284564223E-14,-203.88124999999997,-304.00624999999997,1.6775174502702552E-6
-4.384057246531046E-14,-203.88125,-312.34999999999997,9.273567148068402E-7
-2.729696021424991E-14,-195.53749999999997,-304.0062499999999,1.8495510247330626E-6
3.3087224502121103E-15,-195.5375,-312.3499999999999,8.442106532603436E-7
-5.955700410381798E-14,-203.88124999999994,-295.6624999999999,2.824239164405602E-6
-5.790264287871192E-14,-195.53749999999994,-295.6624999999999,3.3186064791247304E-6
-7.19647132921134E-14,-312.3499999999999,-203.88125,1.8743024784203572E-7
-7.072394237328385E-14,-304.00624999999997,-203.88125,5.341023432780076E-7
-6.948317145445431E-14,-295.66249999999997,-203.88124999999997,1.0564965780549356E-6
-2.977850205190899E-14,-312.3499999999999,-195.53749999999997,2.2657345297019815E-7
-2.729696021424991E-14,-304.00624999999997,-195.53749999999997,5.691252254178027E-7
-2.4815418376590827E-14,-295.66249999999997,-195.53749999999997,1.1170397374782197E-6
-1.3317607862103743E-13,-287.31874999999997,-220.5687499999999,1.5407899244962305E-6
-1.3152171739593138E-13,-278.97499999999997,-220.56874999999997,2.3968455647470832E-6
-1.1249656330721175E-13,-287.31874999999997,-212.225,1.7623525804005354E-6
-1.108422020821057E-13,-278.9749999999999,-212.225,2.7887993363776463E-6
-1.2862658525199578E-13,-270.6312499999999,-237.25624999999994,2.6559833642302522E-6
-1.2821299494571926E-13,-262.28749999999997,-237.2562499999999,3.910874980983903E-6
-1.530284133223101E-13,-270.6312499999999,-228.91249999999994,3.2751251824604444E-6
-1.5385559393486312E-13,-262.28749999999997,-228.91249999999997,4.899169280363933E-6
-9.388499952476863E-14,-220.56874999999997,-287.31874999999997,2.995875800741E-6
-9.181704799338606E-14,-212.22499999999994,-287.31874999999997,3.7037529872898884E-6
-1.2573145310806018E-13,-220.56874999999997,-278.975,4.284862205376062E-6
-1.2242273065784807E-13,-212.22499999999997,-278.975,5.362767826891983E-6
-1.4227506535912073E-13,-237.25625,-270.63124999999997,3.649704456774691E-6
-1.3896634290890862E-13,-228.91249999999997,-270.63124999999997,4.794730073903798E-6
-1.530284133223101E-13,-237.25624999999994,-262.28749999999997,5.000415177000145E-6
-1.4889251025954496E-13,-228.91249999999997,-262.2875,6.639257736374623E-6
-1.3069453678337835E-13,-253.94374999999997,-253.94374999999997,3.5222551645912935E-6
-1.2821299494571926E-13,-245.59999999999994,-253.94374999999997,4.90978223861747E-6
-1.0091603473146936E-13,-253.94374999999997,-245.59999999999988,4.607243200749215E-6
-9.926167350636331E-14,-245.6,-245.59999999999988,6.5001569095634145E-6
-2.895132143935596E-14,-312.3499999999999,-187.19374999999997,2.9843789716605537E-7
-3.8050308177439267E-14,-304.00624999999997,-187.19374999999997,5.738186264591457E-7
-4.714929491552257E-14,-295.66249999999997,-187.19374999999997,1.0397928107394133E-6
-2.8124140826802938E-14,-312.3499999999999,-178.85,4.3907842325589467E-7
-4.8803656140628627E-14,-304.00624999999997,-178.85,6.038162726258846E-7
