Equivalent radius	Count
nm	Exp
1.50E-09	0
4.49E-09	0
7.48E-09	18
1.05E-08	26
1.35E-08	27
1.65E-08	47
1.94E-08	47
2.24E-08	54
2.54E-08	86
2.84E-08	107
3.14E-08	124
3.44E-08	211
3.74E-08	218
4.04E-08	266
4.34E-08	276
4.64E-08	295
4.94E-08	321
5.24E-08	368
5.54E-08	279
5.83E-08	330
6.13E-08	322
6.43E-08	237
6.73E-08	262
7.03E-08	215
7.33E-08	147
7.63E-08	144
7.93E-08	117
8.23E-08	93
8.53E-08	63
8.83E-08	48
9.13E-08	28
9.42E-08	22
9.72E-08	12
1.00E-07	17
1.03E-07	9
1.06E-07	7
1.09E-07	1
1.12E-07	4
1.15E-07	3
1.18E-07	2
1.21E-07	0
1.24E-07	1
1.27E-07	1
1.30E-07	0
1.33E-07	0
1.36E-07	0
1.39E-07	0
1.42E-07	0
1.45E-07	0
1.48E-07	0
1.51E-07	0
1.54E-07	0
1.57E-07	0
1.60E-07	0
1.63E-07	0
1.66E-07	0
1.69E-07	0
1.72E-07	0
1.75E-07	1
