Wavelength  [nm],3nm Extinction [a.u.],5nm Extinction [a.u.],7nm Extinction [a.u.],9nm Extinction [a.u.],11nm Extinction [a.u.],13nm Extinction [a.u.],15nm Extinction [a.u.],17nm Extinction [a.u.]
201.42901000000001,NaN,0.049099999999999998,0.32735999999999998,-0.051150000000000001,-0.32967999999999997,0.059999999999999998,NaN,0.88461000000000001
201.69843,-0.14266999999999999,-0.21748000000000001,NaN,0.070580000000000004,0.17609,0.26323999999999997,-0.69896999999999998,-0.92942000000000002
201.96784,0.87505999999999995,NaN,-0.52288000000000001,-0.042750000000000003,0.13658000000000001,0.66900999999999999,0.21560000000000001,-0.34242
202.23724999999999,-0.95423999999999998,NaN,-0.03218,0.19836999999999999,0.53712000000000004,0.72202999999999995,NaN,-0.11738999999999999
202.50664,0.11197,NaN,-1.53148,NaN,0.41497000000000001,Inf,NaN,NaN
202.77602999999999,-0.27300000000000002,0.13111,-0.36797999999999997,NaN,0.093420000000000003,0.039510000000000003,-0.45229999999999998,-0.97004000000000001
203.04541,NaN,-0.21243999999999999,0.025309999999999999,NaN,0.24304000000000001,0.24778,0.98528000000000004,0.13830000000000001
203.31478999999999,0.20827999999999999,NaN,0.13716999999999999,-0.096909999999999996,0.41497000000000001,0.044200000000000003,0.54407000000000005,-0.44716
203.58416,-0.24987999999999999,-0.16774,-0.97004000000000001,-0.21085000000000001,NaN,-0.18074000000000001,0.49292000000000002,0.11197
203.85351,NaN,-0.024719999999999999,NaN,NaN,0.50060000000000004,0.3599,0.94728999999999997,-0.28631000000000001
204.12287000000001,-0.52015999999999996,0.33399000000000001,NaN,NaN,NaN,NaN,0.32222000000000001,-0.21387999999999999
204.39221000000001,-0.061269999999999998,-0.078750000000000001,-0.72699999999999998,NaN,NaN,0.20412,NaN,-0.38020999999999999
204.66155000000001,-0.15490000000000001,0.14960000000000001,0.049489999999999999,Inf,NaN,-0.073230000000000003,NaN,NaN
204.93087,NaN,0.35194999999999999,0.01472,-0.093909999999999993,0.63202000000000003,-0.17025999999999999,-0.43933,-0.066949999999999996
205.2002,NaN,0.25840999999999997,0.21884000000000001,NaN,-0.70679000000000003,0,NaN,-0.46666000000000002
205.46951000000001,0.23044999999999999,0.13077,0.11651,0.56067,0.14613000000000001,0.69896999999999998,NaN,NaN
205.73881,-0.40748000000000001,0.28916999999999998,0.037789999999999997,0.69896999999999998,-0.49009000000000003,0.36173,0.1181,0.29148000000000002
206.00810999999999,0.17609,-0.070480000000000001,NaN,NaN,0.096909999999999996,0.56820000000000004,-0.13830000000000001,NaN
206.2774,NaN,-0.10988000000000001,0.17609,-0.43933,0.75333000000000006,Inf,0.1181,0.47711999999999999
206.54668000000001,0.82699999999999996,0.14502000000000001,0.47711999999999999,-0.32033,0.62839,-0.14779999999999999,NaN,-0.53510999999999997
206.81595999999999,0.20091999999999999,1.0119,0.22578000000000001,NaN,NaN,0.22800999999999999,NaN,0.022280000000000001
207.08521999999999,-0.42842999999999998,0.025649999999999999,NaN,Inf,0.1158,0.22639999999999999,NaN,NaN
207.35448,NaN,-0.76807999999999998,NaN,-0.90308999999999995,0.76592000000000005,0.01223,0.60206000000000004,0.85194000000000003
207.62372999999999,NaN,0.43414999999999998,0.31292999999999999,-0.69896999999999998,0.34522999999999998,0.84509999999999996,-0.74036000000000002,0.19425999999999999
207.89296999999999,-0.27621000000000001,-0.25817000000000001,-0.16419,-0.35427999999999998,-0.21848999999999999,0.24667,1.50515,0.25072
208.16220999999999,0.35217999999999999,-0.81179999999999997,-0.74938000000000005,-0.051150000000000001,0.21621000000000001,0.07918,-0.16273000000000001,0
208.43144000000001,-0.12494,-0.07918,-1.0969100000000001,NaN,0.39794000000000002,-0.24778,0,NaN
208.70066,-0.47711999999999999,NaN,0.2888,0.47711999999999999,NaN,0.11998,NaN,0
208.96986999999999,NaN,0.00941,0.11539000000000001,NaN,NaN,-0.055050000000000002,-0.37358000000000002,-0.32906000000000002
