% Model,Supported-Internal-m000.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 25 2023, 11:29"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
450,450,0.2423035630323552,9.986697275427396E-5
460,460,0.23936978840597445,8.604420477147215E-5
470,470,0.23721984276106578,9.938879786128751E-5
480,480,0.24101693798274565,7.000350097144605E-5
490,490,0.2544445156975974,7.859096715539356E-5
500,500,0.2811381826972761,1.0036776311125834E-4
509.99999999999994,509.99999999999994,0.32209675880991145,1.0947769847337603E-4
519.9999999999999,519.9999999999999,0.36429431464235534,1.3150549157148233E-4
520.25,520.25,0.3650742458173258,1.734485370081398E-4
520.5,520.5,0.36586690324122234,1.7044484990173198E-4
520.75,520.75,0.3667071502121855,1.6511294179705828E-4
521,521,0.3674817573820279,1.7821875966108591E-4
521.2499999999999,521.2499999999999,0.3681607221390453,1.944492763350761E-4
521.4999999999999,521.4999999999999,0.36904854193668263,1.353995239316609E-4
521.75,521.75,0.3696371962517484,1.5794577337647708E-4
522,522,0.3704137245810153,1.7332490994781177E-4
522.25,522.25,0.37109679668030054,1.5540410359571693E-4
522.5,522.5,0.3717550353096104,1.705910487590892E-4
522.7499999999999,522.7499999999999,0.3723817102748188,1.737664819256946E-4
523,523,0.3730156282833963,1.6963720220683964E-4
523.25,523.25,0.3734974437087951,1.520931488082958E-4
523.5,523.5,0.37407308656576865,1.741968523542519E-4
523.75,523.75,0.37462840153040966,1.7464361639158427E-4
523.9999999999999,523.9999999999999,0.3752000607958918,1.9583654616623037E-4
524.2499999999999,524.2499999999999,0.3756849192176788,1.4561818670140697E-4
524.5,524.5,0.37609842986812925,2.0382744638659873E-4
524.75,524.75,0.37661167258838124,1.7782293271045377E-4
525,525,0.3769720840616679,1.639030967597915E-4
525.25,525.25,0.37745749445067306,1.61944137408954E-4
525.4999999999999,525.4999999999999,0.37773323240161155,1.6138874659700093E-4
525.75,525.75,0.3781271502251241,1.9296360574208696E-4
526,526,0.3783791400774112,1.7250833715064167E-4
526.25,526.25,0.37876897534653897,2.0071893647815532E-4
526.5,526.5,0.37898432107796826,2.2321809900539293E-4
526.75,526.75,0.3792969057240951,1.8920992940554224E-4
526.9999999999999,526.9999999999999,0.3795363421184918,1.8764067660565682E-4
527.25,527.25,0.3798745292267695,1.5586528907781273E-4
527.5,527.5,0.3798669158364004,2.0105309277471396E-4
527.75,527.75,0.380127293867075,1.732407168536721E-4
528,528,0.3802148305992116,2.0169977534970228E-4
528.2499999999999,528.2499999999999,0.38027733671982406,1.5950749103641823E-4
528.4999999999999,528.4999999999999,0.38040619415396126,2.1546295712313038E-4
528.75,528.75,0.38052357341553084,1.7826511020020518E-4
529,529,0.3804729668478156,1.5096456640207123E-4
529.25,529.25,0.38059788363448926,1.8554136971712863E-4
529.5,529.5,0.38062112835899947,1.4934442127312122E-4
529.7499999999999,529.7499999999999,0.3805186766553067,1.9335069256873756E-4
530,530,0.38058159502787936,2.058658175644573E-4
530.25,530.25,0.38045087435963443,1.8515193000269588E-4
530.5,530.5,0.38035565751392914,1.6897590688942329E-4
530.75,530.75,0.3802981398053181,1.9385011719893515E-4
531,531,0.380188930599326,1.6648040048320253E-4
531.2499999999999,531.2499999999999,0.37994473157559727,1.7933265693088305E-4
531.5,531.5,0.379776982304901,1.8248931746751788E-4
