% Model,Supported-Internal-p050.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 30 2023, 13:44"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
450,450,0.217016784812949,7.6675121673092E-5
460,460,0.21476587605581163,7.943935089523741E-5
470,470,0.21304542878455437,7.756037192416296E-5
480,480,0.21681883835706162,5.946344483837133E-5
490,490,0.22926395828677257,6.966881166089905E-5
500,500,0.25308840357527596,8.980446079621717E-5
509.99999999999994,509.99999999999994,0.288445500684821,9.850787376223017E-5
519.9999999999999,519.9999999999999,0.3217857949401732,1.222457279024245E-4
520.25,520.25,0.32236643082877847,1.286476259643919E-4
520.5,520.5,0.3229255411492324,1.321566883809698E-4
520.75,520.75,0.3234825017271821,1.2405402151459372E-4
521,521,0.32402189713309426,1.3597547491402335E-4
521.2499999999999,521.2499999999999,0.32452212785700774,1.268200503064103E-4
521.4999999999999,521.4999999999999,0.3249883913139919,1.2840181745438784E-4
521.75,521.75,0.32553254526101577,1.3232152786263467E-4
522,522,0.32593750309557945,1.1684196259923695E-4
522.25,522.25,0.32638359515632626,1.21029480192944E-4
522.5,522.5,0.3268090643869594,1.2085741988094589E-4
522.7499999999999,522.7499999999999,0.3271613046273806,1.2208433370104502E-4
523,523,0.3275913727478552,1.286247004460943E-4
523.25,523.25,0.32783543887106886,1.3632937528876185E-4
523.5,523.5,0.32821576833576943,1.294678921215468E-4
523.75,523.75,0.32857039860510817,1.2611967442158813E-4
523.9999999999999,523.9999999999999,0.3288527349372045,1.3309926265158708E-4
524.2499999999999,524.2499999999999,0.32913629152701,1.3035529692447597E-4
524.5,524.5,0.3293165082799132,1.2223868844900428E-4
524.75,524.75,0.3296218854248235,1.316494353486892E-4
525,525,0.3298057108836315,1.2247633617739132E-4
525.25,525.25,0.32997078928929957,1.3305619722387647E-4
525.4999999999999,525.4999999999999,0.33007235275982044,1.1925019367381793E-4
525.75,525.75,0.33018470186949883,1.351635514142252E-4
526,526,0.33038232347662194,1.382562966456241E-4
526.25,526.25,0.33047046817839776,1.5644174234033244E-4
526.5,526.5,0.33054058259840335,1.1912274875420007E-4
526.75,526.75,0.3305856857915161,1.3958480041880358E-4
526.9999999999999,526.9999999999999,0.33057958820322164,1.3117543912819169E-4
527.25,527.25,0.33066189059263623,1.3222616050744462E-4
527.5,527.5,0.3306152070922463,1.375811275198266E-4
527.75,527.75,0.3305667235763658,1.315079697169291E-4
528,528,0.33056754115825704,1.1363230677257326E-4
528.2499999999999,528.2499999999999,0.3305204904721598,1.1295438189816565E-4
528.4999999999999,528.4999999999999,0.33034576604878196,1.2979620766782548E-4
528.75,528.75,0.3302181180343611,1.2948077717892206E-4
529,529,0.33007303413506495,1.3563364842977265E-4
529.25,529.25,0.3299226691568153,1.414497046649092E-4
529.5,529.5,0.3296903550216474,1.3927813401118263E-4
529.7499999999999,529.7499999999999,0.329679596549372,1.378603141426055E-4
530,530,0.3293334115375847,1.2842124050523298E-4
530.25,530.25,0.3291251198781628,1.409940642572734E-4
530.5,530.5,0.3289030913768905,1.3737528384739892E-4
530.75,530.75,0.3286025552522278,1.2117933729015812E-4
531,531,0.3283588852520623,1.2892057663103297E-4
531.2499999999999,531.2499999999999,0.32801526992969093,1.4146934207787741E-4
531.5,531.5,0.3276573629717414,1.3932097463175084E-4
531.75,531.75,0.32737690968700667,1.4386826903457306E-4
532,532,0.3270020806819463,1.3629663164981538E-4
532.25,532.25,0.32658991294813594,1.269645926755082E-4
532.4999999999999,532.4999999999999,0.32621367858581607,1.3694122136408306E-4
532.7499999999999,532.7499999999999,0.3258532914125702,1.2455113424026987E-4
533,533,0.325417513495248,1.3308801670839428E-4
533.25,533.25,0.3248959367568494,1.3972383160811895E-4
533.5,533.5,0.32447646107948075,1.6050014044950234E-4
533.75,533.75,0.3240341309866693,1.205052658654983E-4
533.9999999999999,533.9999999999999,0.32350004105816355,1.2746478535847748E-4
534.25,534.25,0.32305777776924244,1.3680221847438075E-4
534.5,534.5,0.32255231198441114,1.4102620884880057E-4
534.75,534.75,0.32190564819447814,1.5316176240032011E-4
535,535,0.32138881332306496,1.2669000648014497E-4
535.25,535.25,0.32085809443162333,1.4825903001823261E-4
535.4999999999999,535.4999999999999,0.32023020649011485,1.464011881939217E-4
535.75,535.75,0.3196425487282662,1.4030534552097166E-4
536,536,0.31904041689629803,1.5990425419609074E-4
536.25,536.25,0.3184455730523109,1.5874438359351795E-4
536.5,536.5,0.3178038359941468,1.184780030457358E-4
536.7499999999999,536.7499999999999,0.3171519408347103,1.4038292994482155E-4
536.9999999999999,536.9999999999999,0.3165268782006007,1.3111541938676602E-4
537.25,537.25,0.3157873020110993,1.3545253946916567E-4
537.5,537.5,0.3151188137496527,1.320068324031474E-4
537.75,537.75,0.3145214047374291,1.2611171266597318E-4
538,538,0.3136336277377914,1.6014317154357786E-4
538.2499999999999,538.2499999999999,0.31307175434255513,1.2739641547437794E-4
538.5,538.5,0.3123421061674485,1.3679806419656602E-4
538.75,538.75,0.3115755805663649,1.3795881121791327E-4
539,539,0.31091505364367955,1.3389229201134423E-4
539.25,539.25,0.3101390488435095,1.411107967360471E-4
539.5,539.5,0.30937205735485057,1.2414337203032016E-4
539.7499999999999,539.7499999999999,0.30859875730829045,1.4183467922077183E-4
540,540,0.30780896783212963,1.2538180478590354E-4
550,550,0.27212391441223177,1.267141885409977E-4
560,560,0.23370688842028434,9.748593866769126E-5
570,570,0.1962506133872855,9.541146146117418E-5
580,580,0.16207766442598134,6.988320844019826E-5
590,590,0.13225162525651962,6.585000933484693E-5
600,600,0.10831645984506165,4.623464883000082E-5
610,610,0.08956715496296432,4.467295279765211E-5
619.9999999999999,619.9999999999999,0.07506715871633628,3.591607217985856E-5
629.9999999999999,629.9999999999999,0.06374711299560079,2.9729365253811327E-5
639.9999999999999,639.9999999999999,0.054795538713508785,2.474979860341403E-5
650,650,0.04769048403480099,1.2504198018449871E-5
660,660,0.04198584815762119,1.3637478424695919E-5
670,670,0.03744280079747789,1.0942241952145327E-5
680,680,0.03375501164887458,9.966806628892853E-6
690,690,0.030729908262794415,7.127357673481414E-6
700,700,0.028187599238717248,2.3801859991447662E-6
