% Model,Fresnel-External.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 9 2024, 23:40"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
480,480,0.12484275268932277,1.0762632627585065E-4
490,490,0.1327777782371711,1.060947365831727E-4
500,500,0.1439926936815591,1.1630453598407401E-4
502.5,502.5,0.1468318652649513,1.1801131381205976E-4
505,505,0.14917903930498963,1.0922748408035957E-4
507.49999999999994,507.49999999999994,0.15119396288223547,1.2835732757449095E-4
509.99999999999994,509.99999999999994,0.15215544994178973,1.3246054575160495E-4
512.5,512.5,0.15246103239301773,1.3306063444812815E-4
515,515,0.1513013713782679,1.341966277319458E-4
517.5,517.5,0.1492782036113718,1.369734308446843E-4
519.9999999999999,519.9999999999999,0.1457826498546222,1.4522834944637213E-4
522.5,522.5,0.14151212449776956,1.478001725392744E-4
525,525,0.13629288659830974,1.4696208492994968E-4
527.5,527.5,0.13060780589571006,1.4098408611546752E-4
530,530,0.12455420109321623,1.4600590721833005E-4
532.4999999999999,532.4999999999999,0.118389411896167,1.4523351302834798E-4
535,535,0.11232447776531752,1.427042428029675E-4
537.5,537.5,0.10646606373101251,1.3944440947651806E-4
540,540,0.10061699553159788,1.3566001953258658E-4
550,550,0.08034812864217707,1.136730875026723E-4
560,560,0.06406104537716219,1.0836651812001191E-4
570,570,0.050835625616765676,9.797633936329544E-5
580,580,0.040429588363217306,8.450400832698411E-5
590,590,0.03243246418666561,7.759020743238882E-5
600,600,0.026430437994674184,6.739554114213509E-5
