% Model,Fresnel-External-Seven.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 9 2024, 23:41"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
480,480,0.1639943849413217,2.685570432716845E-4
490,490,0.17492837960254018,2.744526714405503E-4
500,500,0.19045429017211027,2.9604572776083433E-4
502.5,502.5,0.1943666777105621,3.1125956195118826E-4
505,505,0.1975661262082536,3.194661094618341E-4
507.49999999999994,507.49999999999994,0.20022420345618763,3.303416165108647E-4
509.99999999999994,509.99999999999994,0.20137360162953416,3.289846503668365E-4
512.5,512.5,0.2015644726252146,3.5798022402729323E-4
515,515,0.19970231021008755,3.652854769844593E-4
517.5,517.5,0.19645347924592022,3.8412797714899725E-4
519.9999999999999,519.9999999999999,0.19123219807218786,3.9101728525226307E-4
522.5,522.5,0.18484683210580446,3.8961200105461154E-4
525,525,0.17724544715366794,3.903397606146025E-4
527.5,527.5,0.16905658969519607,3.8911035092630003E-4
530,530,0.16048797415091326,3.762397763822041E-4
532.4999999999999,532.4999999999999,0.15183917978156442,3.8689937135971133E-4
535,535,0.14334489309338097,3.666149057263574E-4
537.5,537.5,0.13511424670874478,3.588779385721006E-4
540,540,0.12727705440350734,3.506935619146102E-4
550,550,0.10001606450761706,3.212187698637375E-4
560,560,0.078471107821252,2.821187297002569E-4
570,570,0.06139716959301447,2.5026082467683624E-4
580,580,0.04815294608176079,2.1991825423707501E-4
590,590,0.038176175531003435,1.9573700489349186E-4
600,600,0.030792420019094793,1.7639402667437E-4
