% Model,Fresnel-5nm.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 9 2024, 15:14"
% Table,Table 1 - Global Evaluation 1
% wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
480,480,0.17421554485507432,1.1390778089101619E-4
484.99999999999994,484.99999999999994,0.17889899961004307,1.1307166321272197E-4
490,490,0.18499018407620932,1.1295196476373004E-4
494.99999999999994,494.99999999999994,0.1918802552361582,1.1716724781242635E-4
500,500,0.1990296122776701,1.2093580662242481E-4
505,505,0.20493561959279302,1.2479424157033477E-4
509.99999999999994,509.99999999999994,0.20711831687405388,1.36287550276859E-4
515,515,0.20387995394843206,1.423717656217006E-4
519.9999999999999,519.9999999999999,0.1944831877151469,1.4424039335764183E-4
525,525,0.18026547842769686,1.4776354987801698E-4
530,530,0.16381949078605682,1.457616939268899E-4
535,535,0.14717921010971322,1.406312199723804E-4
540,540,0.13162061592978408,1.3262013611432957E-4
545,545,0.11758330339998355,1.2675131992842734E-4
550,550,0.10505568690884491,1.2091430295680511E-4
555,555,0.09386253012217195,1.1396350585106509E-4
560,560,0.083842562547585,1.0755082280874135E-4
564.9999999999999,564.9999999999999,0.07477645441657059,1.0184325174396047E-4
570,570,0.06670338964460892,9.416140900225227E-5
574.9999999999999,574.9999999999999,0.059547445490643704,9.210540257458895E-5
580,580,0.05320724367532253,8.073347584409792E-5
584.9999999999999,584.9999999999999,0.047697922468326846,7.782689143133159E-5
590,590,0.042838064446422776,7.647965837785939E-5
595,595,0.03864980646866187,7.211846866886304E-5
600,600,0.03501715153553723,6.631087332569465E-5
