% Model,AuNP-5-78nm-inc-Mas-Air.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 12:59"
% Dimension,3
% Nodes,32092
% Expressions,1
% Description,Multislice
% X,Y,Z,sqrt(abs(ewfd.relEx)^2+abs(ewfd.relEy)^2+abs(ewfd.relEz)^2)
0,-272.9225,-272.9225,2.9102721838175588E-9
-7.444625512977247E-15,-272.9225,-264.71546874999996,9.051736167879777E-9
-1.7784383169890092E-14,-264.71546874999996,-264.71546874999996,1.366802887267629E-8
-2.067951531382569E-14,-264.71546874999996,-272.9225,1.0450291774673248E-8
-2.8124140826802938E-14,-256.50843749999996,-264.71546874999996,2.1404357366914836E-8
-4.135903062765138E-14,-256.50843749999996,-272.9225,1.906063120958299E-8
-1.4889251025954495E-14,-272.9225,-256.50843749999996,1.537629792275469E-8
-1.4889251025954495E-14,-264.71546874999996,-256.50843749999996,1.885537863527117E-8
-1.4889251025954495E-14,-256.50843749999996,-256.50843749999996,2.617138441754725E-8
-7.444625512977247E-15,-272.9225,-248.30140625000004,2.0752438109054122E-8
-7.444625512977247E-15,-264.71546874999996,-248.30140625000004,2.4479042331758953E-8
-7.444625512977247E-15,-256.5084375,-248.30140625000004,3.312370525278948E-8
0,-272.9225,-240.0943750000001,2.49480728966891E-8
0,-264.71546874999996,-240.0943750000001,2.984209504207534E-8
0,-256.5084375,-240.0943750000001,4.142856146639516E-8
-2.729696021424991E-14,-248.30140624999999,-264.71546874999996,3.0569362677285404E-8
-3.8050308177439267E-14,-248.30140624999999,-272.9225,2.776438253112169E-8
-2.6469779601696882E-14,-240.09437499999999,-264.71546874999996,4.061338686527437E-8
-3.4741585727227156E-14,-240.09437499999999,-272.9225,3.6780921013234005E-8
-1.654361225106055E-14,-248.30140624999999,-256.50843749999996,3.685646767143743E-8
-1.8197973476166606E-14,-240.09437499999999,-256.50843749999996,4.946494805276286E-8
2.1506695926378716E-14,-272.9225,-231.88734375000007,2.795118641897514E-8
2.1093105620102203E-14,-264.71546874999996,-231.88734375000004,3.508236178501222E-8
2.067951531382569E-14,-256.50843749999996,-231.88734375000007,5.1351708487640476E-8
4.301339185275743E-14,-272.9225,-223.68031250000004,2.992494315704854E-8
4.2186211240204405E-14,-264.71546874999996,-223.68031250000004,4.066113730025016E-8
4.135903062765138E-14,-256.50843749999996,-223.6803125,6.351800068228514E-8
-8.271806125530275E-15,-248.30140624999999,-248.30140625000004,4.699311192310844E-8
-9.098986738083303E-15,-240.09437499999999,-248.30140625000004,6.419267358795831E-8
0,-248.30140625000004,-240.0943750000001,5.996872933246449E-8
0,-240.09437500000004,-240.0943750000001,8.340416633012182E-8
-3.8050308177439267E-14,-231.88734374999999,-264.71546874999996,5.290033311174955E-8
-5.790264287871192E-14,-231.88734375,-272.9225,4.6595365039383097E-8
-4.9630836753181654E-14,-223.6803125,-264.71546874999996,6.731575880299749E-8
-8.10637000301967E-14,-223.68031249999999,-272.9225,5.7670675963322583E-8
-1.8197973476166606E-14,-231.88734375,-256.50843749999996,6.690342820382784E-8
-1.8197973476166606E-14,-223.6803125,-256.50843749999996,8.787876940080293E-8
7.113753267956037E-14,-272.9225,-215.47328125000004,3.094715390778628E-8
7.031035206700734E-14,-264.71546874999996,-215.47328125000004,4.608920784569658E-8
6.948317145445431E-14,-256.50843749999996,-215.47328125000004,7.626126775856238E-8
9.926167350636331E-14,-272.9225,-207.26625000000007,3.113689629406034E-8
9.843449289381028E-14,-264.71546874999996,-207.26625000000007,5.26311198403412E-8
9.760731228125725E-14,-256.50843749999996,-207.26625000000007,9.226725740614746E-8
2.0265925007549175E-14,-248.30140624999999,-231.88734375000004,7.631201719915216E-8
1.985233470127266E-14,-240.09437500000004,-231.88734375000007,1.0827716374887204E-7
4.053185001509835E-14,-248.30140624999999,-223.6803125,9.681784449820337E-8
3.970466940254532E-14,-240.09437499999999,-223.68031250000004,1.3961511526862175E-7
-9.098986738083303E-15,-231.88734374999999,-248.30140625000004,8.934570406891231E-8
-9.098986738083303E-15,-223.6803125,-248.30140625000004,1.203361573845341E-7
0,-231.88734375000004,-240.0943750000001,1.1809489267183921E-7
0,-223.6803125,-240.09437500000004,1.613888788822545E-7
-4.839006583435211E-14,-215.47328125000004,-264.71546874999996,8.569190269320615E-8
-7.610061635487853E-14,-215.47328125000004,-272.9225,7.026844780036189E-8
-4.714929491552257E-14,-207.26625000000007,-264.71546874999996,1.068613064131619E-7
-7.113753267956037E-14,-207.26625000000007,-272.9225,8.421104176216165E-8
-2.067951531382569E-14,-215.47328125000004,-256.50843749999996,1.1690706342484315E-7
-2.3161057151484772E-14,-207.26625000000004,-256.50843749999996,1.508528608885053E-7
4.2186211240204405E-14,-272.9225,-199.05921875000007,3.036068977265386E-8
4.2186211240204405E-14,-264.71546874999996,-199.05921875000013,5.759125870672415E-8
4.2186211240204405E-14,-256.50843749999996,-199.05921875000007,1.0521357837566821E-7
-1.4889251025954495E-14,-272.9225,-190.85218750000007,2.8935281932118873E-8
-1.4062070413401469E-14,-264.71546874999996,-190.85218750000007,6.431956288302811E-8
-1.3234889800848441E-14,-256.50843749999996,-190.85218750000007,1.224562552065666E-7
-4.6322114302969543E-14,-199.05921875,-264.71546874999996,1.3226460026257794E-7
-6.948317145445431E-14,-199.05921875000004,-272.9225,9.876974960363687E-8
