% Model,AuDimmer-7-30nm-14nm.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 16 2024, 15:22"
% Table,Table 2 - Global Evaluation 1
% wlength (nm),lambda0 (nm),C_abs (nm^2),C_sca (nm^2)
450,450,123.29800093661477,0.6222794852977254
460,460,122.6727882099339,0.5729664625969897
470,470,122.54452541689773,0.5304753579091723
480,480,125.83032810100691,0.5106812282272186
490,490,134.85364546621454,0.5263956202002896
500,500,152.15860998334512,0.6131390967003844
509.99999999999994,509.99999999999994,178.52032996501572,0.8057609679905474
519.9999999999999,519.9999999999999,204.3007241319171,1.0793587768653496
520.25,520.25,204.74010082169178,1.0890701176615865
520.5,520.5,205.17942899114624,1.099467662114315
520.75,520.75,205.60824477867953,1.101203382027019
521,521,206.02079042780312,1.1001461761361313
521.2499999999999,521.2499999999999,206.44497372397285,1.1043814176384152
521.4999999999999,521.4999999999999,206.84442974938457,1.1286968803259325
521.75,521.75,207.24803112129848,1.114299724724581
522,522,207.64286975843652,1.1314293810945326
522.25,522.25,208.03844126921638,1.1374792291356173
522.5,522.5,208.39729594375265,1.1490955898906599
522.7499999999999,522.7499999999999,208.77181799760544,1.1500979304420373
523,523,209.12097774765095,1.1646257400043993
523.25,523.25,209.29278461430525,1.1574587065762263
523.5,523.5,209.42916339261978,1.1701057886383963
523.75,523.75,209.58938369562176,1.176230355630324
523.9999999999999,523.9999999999999,209.7229352475953,1.182362350487248
524.2499999999999,524.2499999999999,209.83329614524527,1.1885792383093232
524.5,524.5,209.9558627382292,1.1828863968801306
524.75,524.75,210.04400801593644,1.1975220514371996
525,525,210.14495710477132,1.2015150866758506
525.25,525.25,210.2335409121556,1.204688567101643
525.4999999999999,525.4999999999999,210.3058944547091,1.2055846326842006
525.75,525.75,210.3640434271321,1.2159547338828787
526,526,210.4146394152708,1.2286603891151686
526.25,526.25,210.46648979450205,1.2293526774716868
526.5,526.5,210.48114559002252,1.2271186413976265
526.75,526.75,210.49092035107446,1.2376511742663567
526.9999999999999,526.9999999999999,210.4965135538204,1.256145909741101
527.25,527.25,210.4958181296572,1.2522669899691599
527.5,527.5,210.47602967414676,1.2542863408679557
527.75,527.75,210.48366520518377,1.24969564003862
528,528,210.4023285191168,1.253868881803302
528.2499999999999,528.2499999999999,210.20714660379159,1.2633149073432155
528.4999999999999,528.4999999999999,209.99504899896985,1.2711728753093898
528.75,528.75,209.78706417725562,1.2705825285729437
529,529,209.54920751563193,1.2689520564132002
529.25,529.25,209.30341220050778,1.2649615306488118
529.5,529.5,209.0623015641634,1.273994259399841
529.7499999999999,529.7499999999999,208.79984783752076,1.276717159753294
530,530,208.5127017140173,1.2731955566418158
530.25,530.25,208.23605092424347,1.283190295425891
530.5,530.5,207.9396244348905,1.2874276867489256
530.75,530.75,207.63114530093247,1.2828809413473274
531,531,207.3141121315749,1.2882642212057311
531.2499999999999,531.2499999999999,206.97858521102438,1.29327534504414
531.5,531.5,206.64916011271254,1.2979895823091248
531.75,531.75,206.28319714619036,1.287456802876102
532,532,205.98851922486614,1.2955467824961744
532.25,532.25,205.55066596978196,1.30007964298845
532.4999999999999,532.4999999999999,205.15696254931512,1.297526239855092
532.7499999999999,532.7499999999999,204.76779993646625,1.3007608469689078
533,533,204.34247686065459,1.2991330148454165
533.25,533.25,203.85992602454567,1.3112604255084792
533.5,533.5,203.3459905580172,1.304332354376872
533.75,533.75,202.8162196285581,1.3042786565914601
533.9999999999999,533.9999999999999,202.28216134261427,1.3056958764953142
534.25,534.25,201.75787064252086,1.311409711704833
534.5,534.5,201.20182676576277,1.3101895067414548
534.75,534.75,200.6419504841531,1.3166878227687244
535,535,200.08276341638629,1.3064982632599376
535.25,535.25,199.5098893461923,1.307825562467613
535.4999999999999,535.4999999999999,198.92472189742801,1.3014238961470508
535.75,535.75,198.32577881509033,1.3186651371295197
536,536,197.73647557965307,1.304884949353473
536.25,536.25,197.1258342859758,1.3047722762515825
536.5,536.5,196.5104438350256,1.307960013932817
536.7499999999999,536.7499999999999,195.896999847092,1.31370307008421
536.9999999999999,536.9999999999999,195.2412890986147,1.3155529999816025
537.25,537.25,194.60364337850635,1.3090397507262501
537.5,537.5,193.96603787303442,1.3129616392844652
537.75,537.75,193.30087887631393,1.318684680419127
538,538,192.65956343727987,1.2985149227941055
538.2499999999999,538.2499999999999,191.9254214544061,1.3079924124848763
538.5,538.5,191.24096932067772,1.3094820181728957
538.75,538.75,190.50682706419238,1.300639947496937
539,539,189.7833443815544,1.2992769275619667
539.25,539.25,189.05637426444045,1.295241785637173
539.5,539.5,188.3357620211586,1.2961927037949459
539.7499999999999,539.7499999999999,187.59561374148066,1.2982692523175694
540,540,186.85994803294554,1.2951998001898841
550,550,154.65217685713992,1.1812087795261388
560,560,123.01198983810333,1.047782695484601
570,570,95.3107564836439,0.9056597556031013
580,580,72.8142769594088,0.7677105259634408
590,590,55.686505990798715,0.6483025584619754
600,600,43.202549262488304,0.5464186234089338
610,610,34.18151204206816,0.46674676948515503
619.9999999999999,619.9999999999999,27.55436934045618,0.4029528919198381
629.9999999999999,629.9999999999999,22.571036526112092,0.353607627261661
639.9999999999999,639.9999999999999,18.75969743714168,0.31216544804676766
650,650,15.831100747638649,0.27708831676923035
660,660,13.599091258620312,0.24894591474681574
670,670,11.91288749418813,0.2230524536608166
680,680,10.618162153311765,0.2023794574636223
690,690,9.594652258527063,0.18356387055915988
700,700,8.759549672170326,0.16746700835456702
